mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic
0.79853256046772,0.6758036067088445,0.7413032352924347,0,1,s_typh,1,Ampicillin
0.79853256046772,0.6758036067088445,0.7413032352924347,0,2,s_typh,2,Ampicillin
0.79853256046772,0.6758036067088445,0.7413032352924347,0,3,s_typh,4,Ampicillin
0.79853256046772,0.6758036067088445,0.7413032352924347,0,4,s_typh,8,Ampicillin
0.79853256046772,0.6758036067088445,0.7413032352924347,0,5,s_typh,16,Ampicillin
0.79853256046772,0.6758036067088445,0.7413032352924347,0,6,s_typh,32,Ampicillin
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,0,s_typh,0,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,1,s_typh,1,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,2,s_typh,2,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,3,s_typh,4,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,4,s_typh,8,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,5,s_typh,16,Chloramphenicol
0.8277709484100342,0.6707015931606293,0.7081233213345209,1,6,s_typh,32,Chloramphenicol
0.7904826601346334,0.686681404709816,0.7321863025426865,2,0,s_typh,0,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,1,s_typh,1,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,2,s_typh,2,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,3,s_typh,4,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,4,s_typh,8,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,5,s_typh,16,Kanamycin
0.7904826601346334,0.686681404709816,0.7321863025426865,2,6,s_typh,32,Kanamycin
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,0,s_typh,0,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,1,s_typh,1,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,2,s_typh,2,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,3,s_typh,4,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,4,s_typh,8,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,5,s_typh,16,Tetracycline
0.8609176675478617,0.7274444550275803,0.7713150680065155,3,6,s_typh,32,Tetracycline
