mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic,category
0.912211736,0.721388703,0.807316234,3,4,Ecoli_ef,8,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,5,Ecoli_ef,16,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,6,Ecoli_ef,32,Tetracycline,S
0.912211736,0.721388703,0.807316234,3,7,Ecoli_ef,64,Tetracycline,S
0.853254467,0.767520358,0.823135833,0,0,Ecoli_mg,0,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,1,Ecoli_mg,1,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,2,Ecoli_mg,2,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,3,Ecoli_mg,4,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,4,Ecoli_mg,8,Ampicillin,S
0.853254467,0.767520358,0.823135833,0,5,Ecoli_mg,16,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,6,Ecoli_mg,32,Ampicillin,R
0.853254467,0.767520358,0.823135833,0,7,Ecoli_mg,64,Ampicillin,R
0.746965478,0.68139259,0.751507262,1,0,Ecoli_mg,0,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,1,Ecoli_mg,1,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,2,Ecoli_mg,2,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,3,Ecoli_mg,4,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,4,Ecoli_mg,8,Chloramphenicol,S
0.746965478,0.68139259,0.751507262,1,5,Ecoli_mg,16,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,6,Ecoli_mg,32,Chloramphenicol,R
0.746965478,0.68139259,0.751507262,1,7,Ecoli_mg,64,Chloramphenicol,R
0.745911653,0.625556891,0.72533009,2,0,Ecoli_mg,0,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,1,Ecoli_mg,1,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,2,Ecoli_mg,2,Kanamycin,S
